,Unnamed: 0,Unnamed: 0.1,NODE_ID,ARS-ID,정류소명,좌표X,좌표Y,좌표
8309,8309,8309,119900153,20832,신동아관리사무소,126.9439937633,37.5083651145,"703, 만양로3길, 신동아리버파크, 동작구, 서울, 06926, 대한민국"
8310,8310,8310,119900152,20833,삼성래미안.동작청소년문화의집,126.9348053985,37.5055664335,"CU, 등용로, 상도2동, 대방동, 동작구, 서울, 06947, 대한민국"
8311,8311,8311,119900151,20834,대방역2번출구앞,126.9275391654,37.5129150083,"대방역1번출구앞, 노량진로, 대방동, 동작구, 서울, 06900, 대한민국"
8312,8312,8312,119900150,20836,경성의원.새마을금고앞,126.9359558425,37.5128179765,"노량진로6길, 노량진2동, 동작구, 서울, 06940, 대한민국"
8313,8313,8313,119900149,20837,노량진역,126.9414548713,37.513710452,"Shopping Center, 노량진로, 노량진1동, 동작구, 서울, 06922, 대한민국"
8314,8314,8314,119900148,20839,신동아상가,126.9463162949,37.5080721375,"706, 만양로3길, 신동아리버파크, 동작구, 서울, 06926, 대한민국"
8315,8315,8315,119900147,20840,주택가,126.9364910252,37.5055113273,"등용로, 상도2동, 대방동, 동작구, 서울, 06947, 대한민국"
8316,8316,8316,119900146,20842,예스플러스,126.9224904421,37.5039996764,"대방동23길, 대방동, 동작구, 서울, 07360, 대한민국"
8317,8317,8317,119900145,20843,KT동작전화국,126.9345632855,37.5123646206,"유한양행빌딩, 등용로14길, 노량진2동, 대방동, 동작구, 서울, 06928, 대한민국"
8318,8318,8318,119900144,20844,9호선노량진역.동작구청,126.9401346748,37.513014209,"아이비빌딩, 장승배기로, 노량진1동, 동작구, 서울, 06922, 대한민국"
8319,8319,8319,119900143,20845,숭실대후문,126.961109136,37.4950763859,"서달로, 상도1동, 동작구, 서울, 08730, 대한민국"
8320,8320,8320,119900142,20846,건영아파트,126.9476308217,37.507338075,"708, 만양로3길, 신동아리버파크, 동작구, 서울, 06926, 대한민국"
8321,8321,8321,119900141,20847,국민은행,126.9375950644,37.5044366929,"장승배기역 4번출구, 등용로, 상도2동, 대방동, 동작구, 서울, 06947, 대한민국"
8322,8322,8322,119900140,20848,테니스장앞,126.9593040376,37.4981260464,"서달로, 상도1동, 동작구, 서울, 08730, 대한민국"
8323,8323,8323,119000305,20849,동작대교(가상),126.9796813932,37.5046544628,"동작대교남단(미정차), 올림픽대로, 사당2동, 동작구, 서울, 06694, 대한민국"
8324,8324,8324,119900139,20850,숭의여중고교.공군항공안전단,126.929678404,37.5073997331,"숭의여중고교, 공군항공안전단, 여의대방로36길, 대방동, 동작구, 서울, 06944, 대한민국"
8325,8325,8325,119900138,20851,7호선장승배기역5번출구,126.938937313,37.5051441568,"102, 상도로15길, 상도2동, 동작구, 서울, 06937, 대한민국"
8326,8326,8326,119900136,20854,현명약국,126.9364790561,37.5045610775,"상도로15카길, 상도2동, 동작구, 서울, 06937, 대한민국"
8327,8327,8327,119900135,20855,화성목욕탕,126.9406093463,37.499814151,"성대로31길, 상도4동, 동작구, 서울, 06937, 대한민국"
8328,8328,8328,119900134,20856,본동시장,126.9519654441,37.5122422495,"금강약국, 매봉로, 노량진1동, 동작구, 서울, 06969, 대한민국"
8329,8329,8329,119900133,20857,성원아파트,126.9254141731,37.5088085412,"성원아파트, 여의대방로44길, 대방동, 동작구, 서울, 06944, 대한민국"
8330,8330,8330,119900132,20858,충남정육점,126.939923188,37.4991949724,"성대로29길, 상도4동, 동작구, 서울, 07044, 대한민국"
8331,8331,8331,119900131,20859,극동아파트,126.9512409023,37.5111062521,"매봉로, 노량진1동, 동작구, 서울, 06969, 대한민국"
8332,8332,8332,119900267,20861,대방동주민센터,126.9261248481,37.508284084,"대방동, 동작구, 서울, 06944, 대한민국"
8333,8333,8333,119900130,20862,쌍용아파트,126.9329260207,37.5015501099,"101, 상도로15가길, 상도3동, 동작구, 서울, 06953, 대한민국"
8334,8334,8334,119900129,20864,삼성래미안아파트,126.9511289999,37.5103454356,"매봉로, 노량진1동, 동작구, 서울, 06969, 대한민국"
8335,8335,8335,119900128,20865,대림아파트후문.성남중.고교,126.9249796753,37.5058845487,"대림아파트후문, 성남중고등학교, 여의대방로36길, 대방동, 동작구, 서울, 06944, 대한민국"
8336,8336,8336,119900127,20866,성대시장,126.9322061228,37.499979647,"신협365, 성대로2길, 상도3동, 동작구, 서울, 07042, 대한민국"
8337,8337,8337,119900126,20867,노량진역,126.9432303685,37.5136874983,"노량진역 2번출구, 노량진로, 노량진1동, 동작구, 서울, 06922, 대한민국"
8338,8338,8338,119900125,20868,강현중학교.동작청소년문화의집,126.9344572059,37.502878485,"상도로15마길, 상도2동, 대방동, 동작구, 서울, 06953, 대한민국"
8339,8339,8339,119900124,20869,한신아파트,126.9512946671,37.5087551757,"101, 매봉로, 노량진1동, 동작구, 서울, 06969, 대한민국"
8340,8340,8340,119900123,20870,대방교회,126.9230402931,37.5039977996,"대방동23길, 대방동, 동작구, 서울, 06945, 대한민국"
8341,8341,8341,119900122,20871,계령약국,126.9330937424,37.4991571767,"계령약국, 성대로6길, 상도3동, 동작구, 서울, 07042, 대한민국"
8342,8342,8342,119900121,20872,건영아파트후문,126.9515138648,37.5078090142,"상도터널, 상도1동, 동작구, 서울, 06968, 대한민국"
8343,8343,8343,119900268,20873,홍원사,126.9240783709,37.5039423176,"대방동23길, 대방동, 동작구, 서울, 06945, 대한민국"
8344,8344,8344,119900120,20874,강남교회.오거리,126.9448682502,37.5102753812,"드림베이커리, 만양로, 노량진1동, 동작구, 서울, 06926, 대한민국"
8345,8345,8345,119900245,20875,상도은빛어르신복지관.터널경로당,126.9509512832,37.5065431503,"상도터널, 상도1동, 동작구, 서울, 06968, 대한민국"
8346,8346,8346,119900119,20876,영동슈퍼,126.9241049106,37.5028693967,"재황관, 대방동27길, 대방동, 동작구, 서울, 06945, 대한민국"
8347,8347,8347,119900118,20877,사거리,126.9367922928,37.4960351305,"성대로12길, 상도4동, 동작구, 서울, 07044, 대한민국"
8348,8348,8348,119900117,20878,우성아파트,126.9470354452,37.5083470093,"만양로, 노량진1동, 동작구, 서울, 06926, 대한민국"
8349,8349,8349,119900116,20880,범한택시,126.9239313984,37.5000652043,"대방동27길, 대방동, 동작구, 서울, 06945, 대한민국"
8350,8350,8350,119900115,20881,제일성민교회,126.9373158078,37.4954092138,"양녕로23길, 상도4동, 동작구, 서울, 07044, 대한민국"
8351,8351,8351,119900114,20882,신동아리버파크,126.9476910852,37.5066856796,"선앤민치과, 만양로, 상도2동, 동작구, 서울, 06968, 대한민국"
8352,8352,8352,119900113,20883,안일약국,126.9345627601,37.4977741728,"성대로10길, 상도4동, 동작구, 서울, 07044, 대한민국"
8353,8353,8353,119900112,20884,상도역7호선,126.9471032147,37.5028771537,"양녕로, 상도1동, 동작구, 서울, 06968, 대한민국"
8354,8354,8354,119900298,20885,달마사,126.9611781314,37.4997416586,"서달로2길, 흑석동, 비계, 동작구, 서울, 06982, 대한민국"
8355,8355,8355,119900111,20886,동작하이슈퍼,126.9366034671,37.4949771581,"양녕로23길, 상도4동, 동작구, 서울, 07044, 대한민국"
8356,8356,8356,119900110,20887,대림아파트,126.9466637903,37.5053727616,"상도노빌리티아파트, 만양로, 상도2동, 동작구, 서울, 06968, 대한민국"
8357,8357,8357,119900109,20888,밤골.상도역롯데캐슬파크엘,126.9458114544,37.5018058762,"양녕로, 상도2동, 동작구, 서울, 06968, 대한민국"
8358,8358,8358,119000307,20889,한강대교(가상),126.9568672604,37.5138842628,"올림픽대로, 흑석동, 비계, 동작구, 서울, 06981, 대한민국"
8359,8359,8359,119900108,20890,상도역,126.948187,37.503414,"상도역 4번출구, 양녕로, 상도1동, 동작구, 서울, 06968, 대한민국"
8360,8360,8360,119900107,20891,약수맨션.약수당약국,126.9434916814,37.4982015182,"상도4동약수맨션, 양녕로, 상도4동, 동작구, 서울, 08714, 대한민국"
8361,8361,8361,119900106,20892,현진빌라.고마트,126.9429804474,37.4972176404,"양녕회관, 양녕로, 상도4동, 동작구, 서울, 08714, 대한민국"
8362,8362,8362,119900105,20893,중앙대후문,126.9538846155,37.5050461463,"중앙대후문, 흑석로, 흑석동, 동작구, 서울, 06969, 대한민국"
8363,8363,8363,119900104,20894,건영아파트,126.9476207423,37.5074363513,"708, 만양로3길, 신동아리버파크, 동작구, 서울, 06926, 대한민국"
8364,8364,8364,119900255,20896,중앙대중문,126.9573025319,37.5065845406,"중앙대학교 희락관 터, 흑석로, 흑석동, 동작구, 서울, 06969, 대한민국"
8365,8365,8365,119900103,20897,신동아상가,126.9460738181,37.5081335471,"706, 만양로3길, 신동아리버파크, 동작구, 서울, 06926, 대한민국"
8366,8366,8366,119900101,20898,중앙대정문,126.9582113206,37.5067997073,"흑석동, 동작구, 서울, 대한민국"
8367,8367,8367,119900102,20899,신동아관리사무소,126.9445420893,37.5085210058,"703, 만양로3길, 신동아리버파크, 동작구, 서울, 06926, 대한민국"
8368,8368,8368,119000309,20900,여의상류(가상),126.9406960346,37.5165787319,"올림픽대로, 노량진2동, 신길1동, 영등포구, 서울, 06900, 대한민국"
8369,8369,8369,119900100,20901,중앙대병원,126.9614285405,37.5075825733,"중앙대학교, 흑석로, 흑석동, 비계, 동작구, 서울, 06981, 대한민국"
8370,8370,8370,119900099,20902,신동아아파트701동앞,126.9429778778,37.5074997666,"701, 만양로3길, 신동아리버파크, 동작구, 서울, 06926, 대한민국"
8371,8371,8371,119900098,20903,보라매어린이집.문창중학교,126.9226557501,37.497693406,"여의대방로22길, 신대방2동, 동작구, 서울, 07056, 대한민국"
8372,8372,8372,119900097,20904,중앙대병원후문.흑석시장,126.961263941,37.5064665274,"중앙대학교병원, 흑석로, 흑석동, 비계, 동작구, 서울, 06981, 대한민국"
8373,8373,8373,119000311,20905,여의교(가상),126.9276989525,37.5149592929,"올림픽대로, 노량진2동, 신길1동, 영등포구, 서울, 06900, 대한민국"
8374,8374,8374,119900096,20906,새소망교회,126.9415664922,37.5062090516,"101, 만양로3길, 신동아리버파크, 동작구, 서울, 06926, 대한민국"
8375,8375,8375,119900095,20907,동작우체국,126.9244899313,37.4978124584,"여의대방로22길, 신대방2동, 동작구, 서울, 07056, 대한민국"
8376,8376,8376,119900094,20908,중앙대부속초등학교.롯데캐슬에듀포레,126.9609389228,37.5055528185,"중앙대학교사범대학부속초등학교, 서달로, 흑석동, 비계, 동작구, 서울, 06981, 대한민국"
8377,8377,8377,119900093,20909,신대방삼거리역.성대시장,126.9279174808,37.4982268744,"신대방삼거리, 보라매로, 신대방2동, 동작구, 서울, 07056, 대한민국"
8378,8378,8378,119900092,20910,은로초등학교,126.9607932901,37.5032549438,"서울은로초등학교, 서달로, 흑석동, 비계, 동작구, 서울, 06981, 대한민국"
8379,8379,8379,119900091,20912,중앙빌리지.동부센트레빌,126.9602694769,37.5019806442,"114, 서달로, 흑석동, 비계, 동작구, 서울, 06981, 대한민국"
8380,8380,8380,119900090,20913,부강탕,126.9459635513,37.504555525,"상도로34길, 상도2동, 동작구, 서울, 06921, 대한민국"
8381,8381,8381,119900089,20914,유앤미아파트,126.9601015998,37.5009169295,"서달로1길, 우리유앤미아파트, 동작구, 서울, 06971, 대한민국"
8382,8382,8382,119900088,20915,동원베네스트,126.9448450103,37.5031953415,"태건하이츠빌라, 상도로34길, 상도2동, 동작구, 서울, 06921, 대한민국"
8383,8383,8383,119900087,20916,전문건설회관.보라매병원,126.9248118176,37.4923530666,"전문건설회관, 보라매로5가길, 신대방2동, 보라매동, 동작구, 서울, 08708, 대한민국"
8384,8384,8384,119900086,20917,동양아파트,126.9597768188,37.4996644052,"101, 서달로1길, 흑석동양아파트, 동작구, 서울, 06971, 대한민국"
8385,8385,8385,119900085,20918,밤골.상도역롯데캐슬파크엘,126.9455727269,37.5020034297,"태건하이츠빌라, 상도로34길, 상도2동, 동작구, 서울, 06921, 대한민국"
8386,8386,8386,119900084,20919,아카데미타워,126.9244605918,37.4912048829,"아카데미타워, 보라매로5가길, 신대방2동, 보라매동, 동작구, 서울, 08708, 대한민국"
8387,8387,8387,118000582,20920,서울교(가상),126.9150938753,37.5198104941,"영등포동, 영등포구, 서울, 07320, 대한민국"
8388,8388,8388,119900242,20921,신대방역,126.9130040431,37.4874699912,"신대방역 4번출구, 도림천 자전거도로, 신대방1동, 동작구, 서울, 07070, 대한민국"
8389,8389,8389,119900241,20922,빌라삼거리.영도교회.약수터,126.9436056623,37.4953544214,"상도4동, 동작구, 서울, 08714, 대한민국"
8390,8390,8390,119900271,20923,신대방1동주민센터,126.9097510577,37.4872387733,"대림로, 신대방1동, 동작구, 서울, 07070, 대한민국"
8391,8391,8391,119900240,20924,방범초소,126.943601428,37.4943468804,"양녕로20길, 상도4동, 동작구, 서울, 08714, 대한민국"
