,동,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수
0,[' 종로1·2·3·4가동'],540,413,513,279
1,[' 종로1·2·3·4가동'],1905,1277,1004,607
2,[' 이화동'],1905,1277,1004,607
3,[' 혜화동'],7914,1326,3300,676
4,[' 성북동'],1666,687,725,312
5,[' 혜화동'],2128,1484,591,753
6,[' 교남동'],3191,3771,1880,2397
7,[' 충현동'],3191,3771,1880,2397
8,[' 사직동'],5025,1740,1683,1025
9,[' 사직동'],5025,1740,1683,1025
10,[' 사직동'],14117,3393,7616,2320
11,[' 종로1·2·3·4가동'],14117,3393,7616,2320
12,[' 사직동'],14117,3393,7616,2320
13,[' 사직동'],14117,3393,7616,2320
14,[' 명동'],14117,3393,7616,2320
15,[' 종로1·2·3·4가동'],15262,4070,8089,2416
16,[' 성북동'],15262,4070,8089,2416
17,[' 종로1·2·3·4가동'],15262,4070,8089,2416
18,[' 성북동'],20737,4599,13754,2622
19,[' 성북동'],20737,4599,13754,2622
20,[' 성북동'],18068,4246,11754,2766
21,[' 성북동'],18068,4246,11754,2766
22,[' 종로1·2·3·4가동'],3724,1572,2324,818
23,[' 종로1·2·3·4가동'],3724,1572,2324,818
24,[' 종로1·2·3·4가동'],6778,2420,3703,1839
25,[' 종로1·2·3·4가동'],6778,2420,3703,1839
26,[' 종로5·6가동'],5288,1861,2793,1233
27,[' 종로5·6가동'],5288,1861,2793,1233
28,[' 창신1동'],9700,7031,6863,4890
29,[' 창신2동'],2474,3020,1814,3551
30,[' 숭인2동'],5661,4859,3433,4008
31,"['숭인동', ' 숭인2동']",5661,4859,3433,4008
32,[' 숭인1동'],5661,4859,3433,4008
33,[' 청운효자동'],275,529,90,363
34,[' 청운효자동'],275,529,90,363
35,"['효자동', ' 청운효자동']",506,301,108,107
36,[' 청운효자동'],395,496,69,305
37,[' 청운효자동'],395,496,69,305
38,[' 청운효자동'],31,187,8,96
39,[' 청운효자동'],31,187,8,96
40,[' 청운효자동'],341,620,52,383
41,[' 청운효자동'],341,620,52,383
42,[' 청운효자동'],1332,1631,512,887
43,[' 청운효자동'],1332,1631,512,887
44,"['효자동', ' 청운효자동']",406,1126,208,699
45,[' 사직동'],1249,521,605,277
46,[' 사직동'],5794,1384,3019,742
47,[' 사직동'],5794,1384,3019,742
48,"['적선동', ' 사직동']",8835,2976,5071,1325
49,[' 사직동'],8835,2976,5071,1325
50,[' 사직동'],8835,2976,5071,1325
51,[' 종로1·2·3·4가동'],887,491,301,260
52,[' 청운효자동'],887,491,301,260
53,[' 종로1·2·3·4가동'],6532,966,3282,399
54,[' 사직동'],1514,564,727,420
55,[' 사직동'],279,174,173,139
56,[' 사직동'],5058,1849,1653,734
57,[' 사직동'],5058,1849,1653,734
58,[' 사직동'],5058,1849,1653,734
59,[' 사직동'],5058,1849,1653,734
60,[' 사직동'],2498,1647,1589,881
61,[' 사직동'],521,1315,201,865
62,[' 종로1·2·3·4가동'],598,156,389,188
63,[' 성북동'],1649,777,797,447
64,[' 부암동'],453,1409,269,868
65,[' 부암동'],453,1409,269,868
66,[' 부암동'],1577,2876,910,1672
67,[' 부암동'],1577,2876,910,1672
68,[' 부암동'],519,708,193,447
69,[' 부암동'],519,708,193,447
70,[' 부암동'],338,215,139,134
71,[' 부암동'],338,215,139,134
72,[' 부암동'],655,1325,255,801
73,[' 부암동'],655,1325,255,801
74,[' 부암동'],655,1325,255,801
75,[' 부암동'],497,1432,226,931
76,[' 부암동'],497,1432,226,931
77,[' 부암동'],506,830,126,547
78,[' 부암동'],506,830,126,547
79,[' 부암동'],506,830,126,547
80,[' 부암동'],238,1030,135,702
81,[' 부암동'],238,1030,135,702
82,[' 평창동'],14,124,6,66
83,[' 평창동'],14,124,6,66
84,[' 평창동'],71,428,22,249
85,[' 평창동'],71,428,22,249
86,[' 평창동'],362,667,179,376
87,[' 평창동'],362,667,179,376
88,"['구기동', ' 평창동']",1189,1630,574,1044
89,"['구기동', ' 평창동']",1189,1630,574,1044
90,[' 평창동'],143,129,54,84
91,[' 평창동'],1293,319,256,107
92,[' 평창동'],1293,319,256,107
93,[' 평창동'],892,286,207,129
94,[' 평창동'],254,236,102,103
95,[' 평창동'],619,1243,182,990
96,[' 평창동'],619,1243,182,990
97,[' 구로5동'],619,1243,182,990
98,[' 구로5동'],619,1243,182,990
99,[' 평창동'],90,887,76,566
100,[' 평창동'],423,725,81,490
101,[' 평창동'],229,1212,138,728
102,[' 평창동'],266,1600,117,903
103,[' 평창동'],266,1600,117,903
104,[' 평창동'],266,1600,117,903
105,[' 소공동'],72,76,19,56
106,"[' 교남동', ' 평동']",72,76,19,56
107,[' 무악동'],493,1322,263,779
108,[' 천연동'],493,1322,263,779
109,[' 교남동'],837,1250,489,743
110,"[' 교남동', ' 평동']",1991,1447,1252,1018
111,[' 교남동'],419,291,142,171
112,[' 천연동'],419,291,142,171
113,[' 성북동'],157,84,96,27
114,"['무교동', ' 종로1·2·3·4가동']",586,64,205,46
115,[' 성북동'],427,62,251,31
116,[' 성북동'],427,62,251,31
117,[' 종로1·2·3·4가동'],55,54,40,28
118,[' 종로1·2·3·4가동'],13,7,12,5
119,[' 종로1·2·3·4가동'],52,21,21,5
120,"['원남동', ' 종로1·2·3·4가동']",1489,755,430,372
121,[' 성북동'],2984,573,1489,380
122,[' 성북동'],377,233,159,102
123,[' 성북동'],377,233,159,102
124,[' 성북동'],377,233,159,102
125,[' 성북동'],377,233,159,102
126,[' 성북동'],341,188,176,103
127,[' 종로5·6가동'],521,1064,341,754
128,[' 종로5·6가동'],2773,1022,1414,597
129,[' 종로5·6가동'],1082,356,535,307
130,[' 종로5·6가동'],44,19,40,3
131,[' 종로5·6가동'],679,379,402,497
132,"['충신동', ' 종로5·6가동']",437,925,190,712
133,"['충신동', ' 종로5·6가동']",437,925,190,712
134,[' 이화동'],533,523,212,352
135,[' 이화동'],4690,3834,2363,2272
136,[' 이화동'],4690,3834,2363,2272
137,[' 이화동'],7877,3852,5045,2138
138,[' 이화동'],4131,495,1641,157
139,[' 이화동'],2888,1334,903,816
140,[' 이화동'],2888,1334,903,816
141,[' 이화동'],2888,1334,903,816
142,[' 혜화동'],693,821,377,505
143,[' 혜화동'],693,821,377,505
144,"['혜화동', ' 혜화동']",4280,2079,2804,1434
145,[' 혜화동'],2747,814,1223,398
146,[' 혜화동'],9369,2649,6472,2026
147,[' 창신1동'],215,371,153,270
148,[' 창신1동'],287,599,147,528
149,[' 숭인2동'],287,599,147,528
150,[' 숭인1동'],176,499,131,164
151,[' 숭인1동'],1502,1045,1116,679
152,[' 숭인1동'],3351,920,2134,719
153,[' 숭인2동'],664,1270,406,845
154,[' 종로1·2·3·4가동'],616,294,249,279
155,[' 종로1·2·3·4가동'],616,294,249,279
156,[' 종로1·2·3·4가동'],259,281,97,87
157,[' 사직동'],82,40,22,27
158,[' 종로1·2·3·4가동'],10,17,10,12
159,[' 종로5·6가동'],86,42,18,10
160,[' 창신1동'],82,148,37,85
161,[' 창신1동'],122,512,83,326
162,[' 황학동'],122,512,83,326
163,[' 종로1·2·3·4가동'],308,491,91,236
164,[' 숭인2동'],769,688,468,470
165,[' 부암동'],360,975,38,491
166,[' 평창동'],65,238,15,176
167,[' 종로5·6가동'],352,185,201,112
168,[' 숭인2동'],371,338,212,187
169,[' 성북동'],456,115,283,59
170,[' 성북동'],456,115,283,59
171,[' 숭인2동'],63,123,20,54
172,[' 평창동'],388,387,28,256
173,[' 성북동'],224,70,76,17
174,[' 삼청동'],68,101,0,20
175,[' 청운효자동'],78,1084,20,635
176,[' 혜화동'],49,806,22,573
177,[' 혜화동'],0,0,0,0
178,[' 창신3동'],169,497,82,408
179,[' 삼청동'],159,75,10,18
180,[' 삼청동'],159,75,10,18
181,[' 청운효자동'],99,731,42,423
182,[' 청운효자동'],99,731,42,423
183,[' 혜화동'],55,218,39,152
184,[' 혜화동'],55,218,39,152
185,[' 혜화동'],108,702,47,516
186,[' 혜화동'],108,702,47,516
187,[' 교남동'],22,1,10,0
188,[' 혜화동'],2,0,1,0
189,[' 부암동'],3,2,0,0
190,[' 삼청동'],295,167,15,45
191,[' 삼청동'],295,167,15,45
192,[' 혜화동'],465,427,195,342
193,[' 혜화동'],465,427,195,342
194,[' 혜화동'],310,634,46,382
195,[' 혜화동'],310,634,46,382
196,['평창동'],38,360,12,155
197,[' 신길1동'],38,360,12,155
198,[' 신길1동'],38,360,12,155
199,[' 신길1동'],38,360,12,155
200,[' 방배동'],38,360,12,155
201,[' 방배동'],38,360,12,155
202,[' 천연동'],81,45,24,17
203,[' 창신3동'],181,1584,106,1172
204,[' 창신3동'],181,1584,106,1172
205,[' 삼청동'],18,8,0,0
206,[' 가회동'],18,8,0,0
207,[' 가회동'],14,289,3,147
208,[' 종로1·2·3·4가동'],20,20,14,6
209,[' 삼청동'],227,162,16,39
210,[' 삼청동'],227,162,16,39
211,[' 청운효자동'],52,124,7,52
212,[' 청운효자동'],52,124,7,52
213,[' 혜화동'],363,873,162,633
214,[' 혜화동'],363,873,162,633
215,[' 혜화동'],133,532,42,368
216,[' 혜화동'],133,532,42,368
217,[' 평창동'],2,98,0,19
218,[' 교남동'],6000,6104,2813,3119
219,[' 교남동'],6000,6104,2813,3119
220,[' 교남동'],6000,6104,2813,3119
221,[' 교남동'],6000,6104,2813,3119
222,[' 창신3동'],41,852,15,605
223,[' 창신3동'],41,852,15,605
224,[' 삼청동'],77,198,7,94
225,[' 삼청동'],77,198,7,94
226,[' 가회동'],17,135,0,54
227,[' 평창동'],3,3,0,0
228,[' 종로1·2·3·4가동'],28,17,6,17
229,[' 청운효자동'],58,18,3,0
230,[' 청운효자동'],48,91,29,52
231,[' 청운효자동'],48,91,29,52
232,[' 혜화동'],1299,2197,643,1699
233,[' 혜화동'],1299,2197,643,1699
234,[' 용문동'],1299,2197,643,1699
235,[' 용문동'],1299,2197,643,1699
236,[' 면목동'],1299,2197,643,1699
237,[' 면목동'],1299,2197,643,1699
238,[' 충현동'],1299,2197,643,1699
239,[' 신정2동'],1299,2197,643,1699
240,[' 염창동'],1299,2197,643,1699
241,[' 염창동'],1299,2197,643,1699
242,[' 시흥5동'],1299,2197,643,1699
243,[' 시흥5동'],1299,2197,643,1699
244,[' 혜화동'],85,194,11,75
245,[' 평창동'],1,64,0,17
246,[' 교남동'],188,161,62,73
247,[' 숭인1동'],34,573,40,413
248,[' 창신3동'],34,573,40,413
249,[' 가회동'],11,0,2,0
250,[' 가회동'],41,80,2,69
251,[' 가회동'],41,80,2,69
252,[' 평창동'],11,411,3,217
253,[' 녹번동'],11,411,3,217
254,[' 불광1동'],11,411,3,217
255,[' 성북동'],272,176,73,101
256,[' 평창동'],3,172,0,57
257,[' 천연동'],806,341,347,118
258,[' 숭인1동'],92,916,33,609
259,[' 숭인1동'],92,916,33,609
260,[' 가회동'],37,190,22,56
261,[' 가회동'],37,190,22,56
262,[' 성북동'],123,19,49,10
263,[' 성북동'],1950,1291,778,559
264,[' 성북동'],1950,1291,778,559
265,[' 평창동'],1,4,0,1
266,[' 무악동'],26,171,7,63
267,[' 숭인1동'],12,20,6,5
268,[' 가회동'],47,95,7,25
269,[' 가회동'],47,95,7,25
270,[' 종로1·2·3·4가동'],12,73,0,40
271,[' 평창동'],3,50,0,6
272,[' 무악동'],23,645,11,222
273,[' 창신3동'],27,79,32,38
274,[' 가회동'],55,32,14,13
275,[' 평창동'],0,22,0,0
276,[' 평창동'],0,22,0,0
277,[' 이화동'],252,327,43,147
278,[' 이화동'],252,327,43,147
279,[' 이화동'],252,327,43,147
280,[' 평창동'],0,51,0,9
281,[' 무악동'],11,621,5,282
282,[' 성북동'],34,111,11,19
283,[' 평창동'],0,81,0,0
284,[' 이화동'],5,57,1,13
285,[' 평창동'],0,65,0,24
286,[' 교남동'],14,877,4,513
287,[' 정릉3동'],14,877,4,513
288,[' 정릉3동'],14,877,4,513
289,[' 숭인1동'],83,22,27,16
290,[' 성북동'],8,31,5,4
291,[' 부암동'],8,218,0,0
292,[' 평창동'],8,218,0,0
293,[' 평창동'],0,27,0,9
294,[' 교남동'],2,141,0,65
295,[' 성북동'],31,51,11,10
296,[' 부암동'],10,161,0,0
297,[' 부암동'],10,161,0,0
298,[' 이화동'],10,13,4,8
299,[' 혜화동'],1983,150,1413,49
300,[' 평창동'],0,5,0,3
301,[' 교남동'],9,473,7,240
302,[' 창신1동'],69,160,49,63
303,[' 성북동'],171,78,86,21
304,[' 부암동'],0,40,0,0
305,[' 부암동'],0,40,0,0
306,"['혜화동', ' 혜화동']",6,155,5,58
307,[' 평창동'],3,40,0,1
308,[' 사직동'],16,37,0,14
309,[' 창신2동'],146,207,65,100
310,[' 성북동'],364,157,150,37
311,[' 부암동'],0,6,0,0
312,[' 혜화동'],0,0,0,0
313,[' 평창동'],0,23,0,5
314,[' 사직동'],1,32,1,15
315,[' 종로5·6가동'],201,77,121,43
316,[' 부암동'],84,238,36,74
317,[' 부암동'],84,238,36,74
318,[' 중계동'],84,238,36,74
319,[' 삼청동'],67,26,10,5
320,[' 혜화동'],93,81,8,37
321,[' 혜화동'],93,81,8,37
322,[' 평창동'],4,30,0,16
323,[' 사직동'],2,3,0,0
324,[' 종로5·6가동'],1163,281,725,127
325,[' 성북동'],38,1,10,0
326,[' 삼청동'],3,40,1,18
327,[' 평창동'],3,16,0,2
328,"['서울특별시교육청유아교육진흥원 교육동', ' 사직동']",20,13,0,3
329,[' 성북동'],291,22,210,11
330,[' 부암동'],1,5,0,0
331,[' 청운효자동'],11,458,13,219
332,[' 종로1·2·3·4가동'],977,423,678,155
333,[' 평창동'],8,67,0,9
334,"['이화동', ' 이화동']",888,159,422,118
335,[' 성북동'],10,4,0,2
336,[' 부암동'],52,3,0,0
337,[' 부암동'],52,3,0,0
338,[' 평창동'],0,4,0,1
339,"['충신동', ' 종로5·6가동']",212,152,108,62
340,[' 성북동'],507,63,184,28
341,[' 평창동'],0,8,0,2
342,[' 사직동'],34,38,2,8
343,[' 성북동'],33,52,10,17
344,[' 삼청동'],1,54,0,19
345,[' 평창동'],0,8,0,0
346,[' 천연동'],8,83,3,19
347,"[' 가회동', ' 계동']",6,41,4,11
348,[' 교남동'],0,21,0,1
349,[' 평창동'],0,1,0,0
350,[' 교남동'],11,85,3,14
351,[' 창신1동'],79,155,45,66
352,[' 가회동'],3,63,1,39
353,[' 부암동'],15,1,0,0
354,[' 평창동'],38,9,6,8
355,[' 교남동'],7,24,1,3
356,[' 숭인1동'],93,176,44,110
357,[' 평창동'],3,2,2,3
358,[' 교남동'],0,9,0,2
359,[' 부암동'],13,0,0,0
360,[' 평창동'],0,1,0,1
361,[' 교남동'],6,7,0,6
362,[' 숭인1동'],55,625,34,435
363,[' 가회동'],1,79,1,38
364,[' 혜화동'],0,44,0,19
365,[' 평창동'],0,6,0,0
366,[' 부암동'],0,2,0,0
367,[' 혜화동'],384,1017,183,378
368,[' 이화동'],29,103,8,56
369,[' 이화동'],11,20,6,6
370,[' 이화동'],11,20,6,6
371,[' 종로5·6가동'],142,82,63,36
372,[' 무악동'],738,41,404,11
373,[' 천연동'],738,41,404,11
374,[' 이화동'],153,281,103,37
375,[' 청운효자동'],28,50,12,11
376,[' 사직동'],23,41,5,14
377,[' 명동'],3480,2841,2113,1399
378,[' 명동'],2759,2042,1868,1269
379,[' 회현동'],20380,14599,13699,7153
380,[' 회현동'],20380,14599,13699,7153
381,[' 회현동'],20380,14599,13699,7153
382,[' 회현동'],20380,14599,13699,7153
383,[' 회현동'],1816,2350,1536,1407
384,[' 회현동'],5021,2497,3208,1710
385,[' 회현동'],5021,2497,3208,1710
386,[' 회현동'],5021,2497,3208,1710
387,[' 회현동'],5021,2497,3208,1710
388,[' 회현동'],5021,2497,3208,1710
389,[' 회현동'],5,510,1,335
390,[' 청파동'],1825,5042,893,3462
391,[' 청파동'],1825,5042,893,3462
392,[' 공덕동'],1825,5042,893,3462
393,[' 중림동'],600,1244,243,723
394,[' 중림동'],1360,600,1455,272
395,[' 중림동'],2679,1041,247,382
396,['회현동'],2679,1041,247,382
397,['회현동'],2679,1041,247,382
398,[' 중림동'],447,423,171,164
399,[' 충현동'],572,694,360,501
400,[' 중림동'],473,865,270,568
401,"['1동', ' 중림동']",473,865,270,568
402,[' 소공동'],3962,3212,1791,1598
403,[' 소공동'],3962,3212,1791,1598
404,[' 소공동'],4160,865,2402,458
405,['소공동'],4160,865,2402,458
406,[' 회현동'],730,261,337,140
407,['소공동'],730,261,337,140
408,[' 회현동'],1113,395,710,437
409,[' 회현동'],56,194,32,94
410,[' 회현동'],33,1286,3,353
411,[' 회현동'],398,36,327,62
412,[' 회현동'],166,99,122,35
413,[' 소공동'],166,99,122,35
414,[' 회현동'],3205,1628,1822,896
415,[' 소공동'],3205,1628,1822,896
416,[' 소공동'],3366,2934,2415,1071
417,[' 소공동'],3366,2934,2415,1071
418,[' 소공동'],2131,887,1117,480
419,[' 소공동'],4596,1074,2524,738
420,[' 소공동'],4596,1074,2524,738
421,[' 명동'],3360,786,1665,276
422,[' 명동'],4278,1974,2505,1153
423,[' 명동'],9958,2385,4183,863
424,[' 송중동'],9958,2385,4183,863
425,[' 상계동'],9958,2385,4183,863
426,"[' 신대방2동', ' 보라매동']",9958,2385,4183,863
427,[' 명동'],460,281,266,215
428,[' 명동'],5775,2462,2781,1526
429,[' 회현동'],842,285,445,96
430,[' 회현동'],2672,1364,1683,947
431,[' 회현동'],2672,1364,1683,947
432,[' 회현동'],561,533,277,167
433,['명동'],836,974,405,623
434,[' 명동'],3877,860,2157,605
435,[' 명동'],3877,860,2157,605
436,['명동'],2055,809,1090,575
437,[' 필동'],2308,688,1719,480
438,[' 필동'],2308,688,1719,480
439,[' 필동'],1278,406,955,200
440,[' 광희동'],1432,639,1307,384
441,[' 필동'],83,111,75,85
442,[' 명동'],2616,575,1556,291
443,[' 명동'],1841,531,1113,372
444,[' 명동'],2921,1331,1466,588
445,[' 을지로동'],3662,1214,2520,383
446,[' 을지로동'],3662,1214,2520,383
447,[' 을지로동'],3662,1214,2520,383
448,[' 을지로동'],468,320,139,82
449,[' 을지로동'],1349,488,843,275
450,[' 광희동'],165,241,136,141
451,[' 을지로동'],213,141,56,29
452,[' 을지로동'],433,468,330,304
453,[' 을지로동'],226,199,182,137
454,[' 을지로동'],274,154,202,69
455,[' 광희동'],2223,944,1218,595
456,[' 광희동'],2223,944,1218,595
457,[' 광희동'],2494,3464,1893,1946
458,"['광희동', ' 광희동']",2494,3464,1893,1946
459,[' 광희동'],9119,4047,6778,2575
460,[' 광희동'],9119,4047,6778,2575
461,[' 광희동'],9119,4047,6778,2575
462,[' 신당동'],2635,2174,1180,1225
463,[' 신당동'],2635,2174,1180,1225
464,[' 신당동'],315,680,270,1262
465,[' 신당동'],576,568,526,867
466,[' 황학동'],4026,3054,2720,1925
467,[' 신당5동'],4026,3054,2720,1925
468,[' 황학동'],2156,2168,1286,1337
469,[' 신당5동'],2156,2168,1286,1337
470,"['신당동', ' 신당동']",2684,1864,1461,1056
471,"['신당동', ' 동화동']",2684,1864,1461,1056
472,[' 청구동'],1377,1835,821,893
473,[' 다산동'],1377,1835,821,893
474,[' 다산동'],655,858,340,343
475,[' 다산동'],2245,1343,1485,756
476,[' 약수동'],291,1498,153,803
477,[' 약수동'],541,910,394,391
478,"['약수동', ' 다산동']",901,576,644,348
479,[' 약수동'],378,914,291,639
480,[' 약수동'],376,1178,230,750
481,[' 약수동'],376,1178,230,750
482,[' 다산동'],385,481,276,338
483,[' 장충동'],1029,726,418,456
484,[' 장충동'],1029,726,418,456
485,[' 장충동'],2003,2039,1173,1136
486,[' 장충동'],2003,2039,1173,1136
487,[' 광희동'],757,733,411,462
488,[' 광희동'],757,733,411,462
489,[' 필동'],1013,813,494,460
490,[' 광희동'],1013,813,494,460
491,[' 장충동'],3491,428,667,148
492,[' 장충동'],3491,428,667,148
493,[' 동화동'],1437,527,714,242
494,[' 동화동'],1437,527,714,242
495,"['동화동', ' 청구동']",96,731,70,386
496,"['동화동', ' 청구동']",96,731,70,386
497,[' 회현동'],208,304,33,121
498,[' 회현동'],75,275,36,113
499,[' 회현동'],1760,843,1140,525
500,"['동대입구역장충동', ' 장충동']",98,32,14,1
501,[' 다산동'],82,391,51,225
502,[' 을지로동'],77,6,53,9
503,[' 을지로동'],61,19,46,16
504,[' 을지로동'],46,30,25,14
505,[' 신당동'],299,263,311,802
506,[' 소공동'],540,400,281,187
507,[' 약수동'],552,2213,369,1490
508,[' 약수동'],552,2213,369,1490
509,[' 을지로동'],114,14,130,14
510,[' 광희동'],207,84,151,97
511,['필동'],45,176,22,162
512,[' 명동'],2132,858,1291,525
513,[' 왕십리도선동'],1063,658,480,404
514,[' 장충동'],120,17,3,3
515,[' 청구동'],19,1291,10,694
516,[' 청구동'],46,101,26,33
517,[' 황학동'],297,217,101,155
518,[' 신당5동'],801,408,391,201
519,[' 신당5동'],141,1609,50,1163
520,[' 신당5동'],141,1609,50,1163
521,[' 신당5동'],16,168,12,188
522,[' 을지로동'],73,37,0,0
523,"['롯데캐슬베네치아아파트 104동', ' 황학동']",631,638,423,429
524,[' 황학동'],631,638,423,429
525,[' 광희동'],480,592,232,290
526,[' 광희동'],480,592,232,290
527,[' 회현동'],185,8,184,8
528,[' 신당동'],43,16,30,19
529,[' 신당동'],112,107,137,120
530,[' 소공동'],442,671,191,346
531,[' 회현동'],204,507,104,302
532,[' 회현동'],305,1459,226,439
533,[' 회현동'],305,1459,226,439
534,[' Huam-dong'],305,1459,226,439
535,[' 소공동'],1385,1172,926,484
536,[' 장충동'],21,57,1,8
537,[' 필동'],49,381,73,227
538,['필동'],73,34,12,0
539,[' 약수동'],818,232,375,99
540,[' 명동'],58,231,30,41
541,[' 소공동'],261,394,79,60
542,[' 회현동'],1159,438,826,191
543,[' 회현동'],1159,438,826,191
544,[' 회현동'],1159,438,826,191
545,[' 남영동'],1159,438,826,191
546,[' 소공동'],316,25,157,12
547,[' 명동'],656,188,370,82
548,[' 황학동'],4137,425,2600,305
549,[' 중림동'],19,40,0,0
550,"['1동', ' 중림동']",69,63,0,0
551,"['119동', ' 금호2·3가동']",14,62,9,23
552,[' 약수동'],51,1571,11,666
553,[' 약수동'],51,1571,11,666
554,"['40동', ' 약수동']",189,67,74,41
555,[' 약수동'],1380,88,639,44
556,[' 한강로동'],4428,3815,2255,2132
557,[' 한강로동'],4428,3815,2255,2132
558,[' 한강로동'],17044,5131,9724,2548
559,[' 한강로동'],17044,5131,9724,2548
560,[' 한강로동'],17044,5131,9724,2548
561,[' 한강로동'],17044,5131,9724,2548
562,[' 한강로동'],4990,2659,3427,1362
563,[' 한강로동'],4990,2659,3427,1362
564,[' 한강로동'],9818,4789,6021,2839
565,[' 한강로동'],9818,4789,6021,2839
566,[' 한강로동'],9818,4789,6021,2839
567,[' 남영동'],12513,8151,7924,4081
568,[' 남영동'],12513,8151,7924,4081
569,[' 청파동'],12513,8151,7924,4081
570,[' 남영동'],5142,5457,2970,2986
571,"['갈월동', ' 남영동']",5142,5457,2970,2986
572,"['갈월동', ' 남영동']",5142,5457,2970,2986
573,[' 남영동'],5664,3405,3090,1381
574,[' 남영동'],5664,3405,3090,1381
575,[' 원효로1동'],5664,3405,3090,1381
576,[' 원효로1동'],5664,3405,3090,1381
577,[' 청파동'],5664,3405,3090,1381
578,[' 한강로동'],302,320,151,115
579,[' 한강로동'],554,180,308,93
580,"['서계동', ' 남영동']",89,468,64,172
581,"['서계동', ' 청파동']",89,468,64,172
582,"['청파동', ' 청파동']",234,732,120,361
583,[' 청파동'],21,88,0,0
584,[' 청파동'],1092,765,559,354
585,[' 청파동'],1092,765,559,354
586,"['용산전자상가17동', ' 한강로동']",81,90,27,39
587,"['나진상가 19동', ' 한강로동']",59,48,20,25
588,"['용산전자상가10동', ' 한강로동']",324,97,169,37
589,"['나진상가 12동', ' 한강로동']",154,155,72,83
590,[' 한강로동'],314,259,140,151
591,[' 한강로동'],314,259,140,151
592,[' 한강로동'],367,700,176,363
593,[' 한강로동'],367,700,176,363
594,[' 원효로1동'],1234,1515,748,841
595,[' 원효로1동'],1234,1515,748,841
596,[' 원효로1동'],1234,1515,748,841
597,[' 원효로1동'],749,945,431,575
598,[' 원효로1동'],147,705,76,274
599,[' 원효로1동'],147,705,76,274
600,[' 원효로1동'],425,573,263,283
601,[' 원효로1동'],643,843,380,567
602,[' 원효로1동'],259,341,142,181
603,[' 원효로1동'],1050,1507,540,993
604,[' 원효로1동'],1050,1507,540,993
605,[' 용산2가동'],370,713,250,487
606,[' 이태원2동'],773,827,657,475
607,[' 용산2가동'],445,1120,183,315
608,[' 용산2가동'],1512,509,522,106
609,[' 이태원2동'],1104,1710,655,914
610,[' 용산2가동'],2462,2154,1182,1157
611,[' 용산2가동'],2462,2154,1182,1157
612,[' 서빙고동'],1246,3145,651,1757
613,[' 서빙고동'],1246,3145,651,1757
614,[' 서빙고동'],617,1338,226,542
615,[' 서빙고동'],1230,1764,645,958
616,[' 서빙고동'],1230,1764,645,958
617,[' 한남동'],556,655,289,396
618,[' 한남동'],26,119,12,62
619,[' 한남동'],1146,966,467,773
620,[' 한남동'],3017,2680,1231,1329
621,[' 한남동'],11633,4078,6200,2468
622,[' 한남동'],11633,4078,6200,2468
623,[' 한남동'],11633,4078,6200,2468
624,['한남동'],6699,10535,4713,6459
625,[' 한남동'],3479,4204,2398,3243
626,[' Huam-dong'],781,1466,246,1031
627,[' Huam-dong'],781,1466,246,1031
628,[' Huam-dong'],393,621,121,562
629,[' Huam-dong'],393,621,121,562
630,[' 용산2가동'],924,2131,741,1660
631,[' 용산2가동'],924,2131,741,1660
632,[' 이태원2동'],223,424,104,306
633,[' 이태원2동'],223,424,104,306
634,[' 이태원2동'],2600,1487,503,834
635,[' 이태원2동'],2600,1487,503,834
636,[' 이태원2동'],2600,1487,503,834
637,[' 이태원2동'],2600,1487,503,834
638,[' 효창동'],114,701,65,476
639,[' 효창동'],70,534,31,216
640,[' 효창동'],2035,2409,1185,1341
641,[' 효창동'],2035,2409,1185,1341
642,[' 효창동'],2035,2409,1185,1341
643,[' 원효로1동'],1050,2932,628,2005
644,[' 원효로1동'],1050,2932,628,2005
645,[' 원효로1동'],609,661,228,288
646,[' 한강로동'],2035,2065,1122,1240
647,[' 한강로동'],2035,2065,1122,1240
648,[' 한강로동'],2035,2065,1122,1240
649,[' 용산2가동'],1573,1987,897,1041
650,[' 용산2가동'],1573,1987,897,1041
651,[' 용산2가동'],1573,1987,897,1041
652,[' 이태원1동'],2206,1334,880,762
653,[' 이태원1동'],2206,1334,880,762
654,[' 이태원1동'],1803,701,699,337
655,[' 이태원1동'],1904,1053,1329,706
656,[' 이태원1동'],1441,1650,950,1041
657,[' 이태원1동'],1441,1650,950,1041
658,[' 한남동'],1076,495,296,253
659,[' 한남동'],1130,232,486,142
660,[' 한남동'],1130,232,486,142
661,[' 한남동'],2258,1566,674,552
662,[' 한남동'],2258,1566,674,552
663,[' 남영동'],94,823,75,614
664,[' Huam-dong'],886,2207,351,1268
665,[' Huam-dong'],886,2207,351,1268
666,[' Huam-dong'],886,2207,351,1268
667,[' Huam-dong'],504,964,267,587
668,[' Huam-dong'],504,964,267,587
669,[' 남영동'],504,964,267,587
670,[' Huam-dong'],1063,2430,471,1272
671,[' Huam-dong'],1063,2430,471,1272
672,[' 용산2가동'],1063,2430,471,1272
673,[' 남영동'],98,66,49,33
674,[' 남영동'],98,66,49,33
675,[' 남영동'],1100,419,541,190
676,[' 남영동'],1100,419,541,190
677,[' 한남동'],419,641,107,424
678,[' 한남동'],419,641,107,424
679,"['한남동', ' 한남동']",3933,1275,2420,802
680,"['한남동', ' 한남동']",3933,1275,2420,802
