,정류소이름
1,온곡중학교노원정보도서관(11193)
2,상계초등학교(11208)
3,노원역9번출구(11210)
4,상계주공3단지(11244)
5,상계주공2단지(11245)
6,상계주공1단지(11246)
7,중계역(11366)
8,노원구민의전당(11367)
9,하계역(11447)
10,하계장미아파트(11448)
11,서울과학기술대입구(11160)
12,공릉역4번출구(11162)
13,공릉시장(11102)
14,태릉입구역3번출구(11104)
15,태릉입구역(11105)
16,한진한화그랑빌아파트(11312)
17,석계역2번출구(11284)
18,석계역1번출구.B(11481)
19,석관동주민센터(08145)
20,장위동동원베네스트.온누리병원(08143)
21,돌곶이역(08209)
22,석관시장(08211)
23,석관동새마을금고(08213)
24,한국예술종합학교(08215)
25,의릉입구(06130)
26,이문동우체국(06128)
27,외대앞(06126)
28,경희중고(06124)
29,회기시장(06122)
30,회기동현대아파트(06320)
31,떡전교사거리.동대문노인복지관(06014)
32,청량리미주아파트.동대문세무서(06021)
33,청량리역환승센타(06015)
34,청량리.청과물도매시장(06022)
35,제기동역.서울약령시(06024)
36,용두동사거리.한국의류시험연구원(06026)
37,신설동역(06028)
38,동묘앞(01044)
39,동대문(흥인지문)(01037)
40,종로중부새마을금고(01288)
41,동대문역사문화공원(02173)
42,광희동(02170)
43,장충동.동국대입구(02204)
44,장충체육관앞(02202)
45,약수역10번출구(02223)
46,약수역8번출구.신당사회복지관(02195)
47,송도병원앞(02198)
48,버티고개(02236)
49,장충단로입구(03158)
50,서울시중부기술교육원.블루스퀘어(03161)
51,순천향대학병원.한남오거리(03165)
52,신사역.푸른저축은행(22015)
53,논현역(22013)
54,지하철2호선강남역(22011)
55,강남역.역삼세무서(23287)
56,역삼역.포스코타워역삼(23288)
57,한서병원(23305)
58,한국자산신탁.센터필드(23306)
59,선릉역(23259)
60,포스코빌딩(23260)
61,한국무역센터.삼성역(23251)
62,강남경찰서.강남운전면허시험장(23473)
63,잠실종합운동장(24154)
64,종합운동장사거리(24157)
65,잠실새내역4번출구(24158)
66,잠실트리지움아파트앞(24145)
67,잠실역.롯데월드(24146)
68,석촌호수.한솔병원(24004)
69,석촌역(24006)
70,송파역(24008)
71,가락시장.가락시장역(24010)
72,문정로데오거리입구(24012)
73,문정법조단지.건영아파트(24014)
74,장지역.가든파이브(24016)
75,복정역환승주차장(24658)
76,복정역환승센터3번승강장(24503) - 회차
77,장지역.가든파이브(24015)
78,문정법조단지.건영아파트(24013)
79,문정로데오거리입구(24011)
80,가락시장.가락시장역(24009)
81,송파역(24007)
82,석촌역(24005)
83,석촌호수.한솔병원(24003)
84,잠실역.롯데월드(24138)
85,잠실5단지(24139)
86,잠실새내역.잠실2동주민센터(24141)
87,잠실엘스아파트앞(24142)
88,종합운동장사거리(24143)
89,잠실종합운동장(24144)
90,강남경찰서면허시험장(23196)
91,한국무역센터.삼성역(23201)
92,포스코건너편(23217)
93,선릉역(23218)
94,서울상록회관.한국기술센터(23277)
95,아가방빌딩.하나은행(23280)
96,역삼역(23283)
97,강남역12번출구(23284)
98,지하철2호선강남역(22012)
99,논현역(22014)
100,신사역(22016)
101,한남5거리(03166)
102,순천향대학병원(03162)
103,서울중부기술교육원.블루스퀘어(03160)
104,버티고개(02237)
105,송도병원앞(02197)
106,약수역7번출구.약수동주민센터(02196)
107,약수역1번출구(02199)
108,장충체육관앞(02201)
109,장충동.동국대입구(02203)
110,광희동(02171)
111,동대문역사문화공원(02174)
112,동대문역.흥인지문(01023)
113,동묘앞(01041)
114,신설동역(06027)
115,용두동사거리(06025)
116,제기동역.서울약령시(06023)
117,청량리수산시장(06426)
118,청량리역환승센터(06019)
119,서울성심병원(06114)
120,우산빌딩앞(06321)
121,회기시장(06123)
122,경희중고(06125)
123,외대앞(06127)
124,이문동교회(06129)
125,의릉입구(06131)
126,한국예술종합학교(08216)
127,석관동새마을금고(08214)
128,석관시장(08212)
129,돌곶이역(08141)
130,석관동주민센터(08144)
131,석계역(08147)
132,태릉입구역4번출구(11103)
133,공릉시장(11101)
134,공릉역1번출구(11161)
135,서울과학기술대입구(11159)
136,하계미성아파트(11417)
137,하계역(11416)
138,서울시립북서울미술관(11374)
139,중계역(11373)
140,백병원(11257)
141,상계주공4단지(11256)
142,상계주공6단지(11255)
143,도봉면허시험장(11185)
144,상계주공7단지(11183)
145,상계주공7단지.광림교회앞(11188)
