,dname,22시승차총승객수,22시하차총승객수,23시승차총승객수,23시하차총승객수,승차승객합,하차승객합
134,삼청동,2543,1560,855,687,3398,2247
135,상계0동,1812,1227,1327,763,3139,1990
136,상계동,62197,52049,34111,29905,96308,81954
137,상도동,49902,88285,26489,51486,76391,139771
138,상봉동,20909,20264,11377,12461,32286,32725
139,상수동,1056,868,793,573,1849,1441
140,상암동,37658,29236,18405,17848,56063,47084
141,상월곡동,1586,3949,973,3142,2559,7091
142,상일동,12701,15210,6035,9120,18736,24330
143,서강동,4198,5725,2500,3212,6698,8937
144,서계동,1825,5042,893,3462,2718,8504
145,서교동,63487,30671,40389,19078,103876,49749
146,서림동,6214,14963,3208,10748,9422,25711
147,서빙고동,4389,8936,2177,4686,6566,13622
148,서소문동,4596,1074,2524,738,7120,1812
149,서원동,2152,838,1366,518,3518,1356
150,서초동,80311,66362,30212,29070,110523,95432
151,석관동,15366,8209,9930,5065,25296,13274
152,석촌동,14535,15810,8093,9043,22628,24853
153,성내동,22337,25589,11969,14499,34306,40088
154,성북동,9130,8020,5185,4642,14315,12662
155,성북동가,575,931,310,523,885,1454
156,성산동,19889,31180,8414,18911,28303,50091
157,성수가동,12323,8868,5659,5023,17982,13891
158,성수동가,15529,16587,8307,9875,23836,26462
159,성현동,1771,13571,1010,8548,2781,22119
160,세곡동,7617,25789,3148,14462,10765,40251
161,세종로,13210,3662,5662,1643,18872,5305
162,소공동,6388,2223,3416,1281,9804,3504
163,송정동,2561,5086,1186,3366,3747,8452
164,송중동,29950,29740,18898,18602,48848,48342
165,송천동,1224,2326,635,1297,1859,3623
166,송파동,23580,25344,11535,15394,35115,40738
167,수궁동,631,3555,298,2261,929,5816
168,수색동,4029,9068,2227,5697,6256,14765
169,수서동,25214,8108,14168,3343,39382,11451
170,수유동,57595,65522,34041,41303,91636,106825
171,숭인동,13023,12312,8142,9125,21165,21437
172,시흥동,37446,65686,19324,41134,56770,106820
173,신계동,448,373,227,181,675,554
174,신공덕동,911,1436,359,769,1270,2205
175,신길동,36304,63960,18270,33846,54574,97806
176,신내동,20849,29874,9036,18224,29885,48098
177,신당동,26640,21072,15815,13927,42455,34999
178,신대방동,26538,23560,14418,13293,40956,36853
179,신도림동,7388,13170,2845,7113,10233,20283
180,신림동,146934,99706,88750,63586,235684,163292
181,신문로가,279,174,173,139,452,313
182,신사동,57166,48202,29247,27695,86413,75897
183,신설동,2418,2623,1447,1654,3865,4277
184,신수동,2588,4160,1281,2414,3869,6574
185,신원동,177,1708,93,1169,270,2877
186,신월동,21704,53222,10628,32124,32332,85346
187,신정동,57972,71062,26774,41266,84746,112328
188,신천동,17864,10255,7959,5199,25823,15454
189,신촌동,44102,23428,23699,14150,67801,37578
190,쌍림동,2494,3464,1893,1946,4387,5410
191,쌍문동,42112,42647,24558,27360,66670,70007
192,아현동,12818,14591,6755,8197,19573,22788
193,안국동,2807,1619,1239,754,4046,2373
194,안암동,3113,3521,2107,2149,5220,5670
195,안암동가,7565,8733,5616,5602,13181,14335
196,암사동,6318,16592,3055,9178,9373,25770
197,압구정동,17142,9837,9414,5445,26556,15282
198,약수동,1419,3415,664,1626,2083,5041
199,양재동,36445,42531,18889,24451,55334,66982
200,양평동,6537,10025,3455,5055,9992,15080
201,양평동가,3667,5852,1230,2898,4897,8750
202,양화동,4449,5228,2219,2639,6668,7867
203,여의도동,63493,23531,30196,12728,93689,36259
204,여의동,6971,4256,3242,2415,10213,6671
205,역삼동,116076,71028,62832,36481,178908,107509
206,역촌동,16971,19935,8694,11779,25665,31714
207,연건동,7198,2200,2658,1037,9856,3237
208,연남동,4209,3564,1665,2232,5874,5796
209,연희동,34346,44802,18867,28735,53213,73537
210,염곡동,181,327,73,232,254,559
211,염리동,2874,3908,950,1987,3824,5895
212,염창동,11330,23511,4992,12356,16322,35867
213,영등포동,7754,6077,4171,3202,11925,9279
214,영등포동가,53085,30349,29235,16768,82320,47117
215,영등포본동,4887,3633,2931,1825,7818,5458
216,영천동,6498,6595,2988,3407,9486,10002
217,예장동,3397,458,220,44,3617,502
218,예지동,52,21,21,5,73,26
219,오금동,8420,14122,3700,8498,12120,22620
220,오류동,12498,20444,6963,12078,19461,32522
221,오륜동,5221,2141,3001,998,8222,3139
222,옥수동,8488,9401,4430,5264,12918,14665
223,옥인동,99,731,42,423,141,1154
224,온수동,9043,3483,5384,1858,14427,5341
225,왕십리도선동,8737,6347,5897,3574,14634,9921
226,왕십리동,6084,7201,3731,4161,9815,11362
